regiao,numero_regiao,subsecao,vp,presidente,classificacao
1ª Região,1,Santana,Não,Sim,Apenas Presidente
1ª Região,1,Nossa Senhora do Ó,Não,Sim,Apenas Presidente
1ª Região,1,Jabaquara,Sim,Sim,Ambas as gestões
1ª Região,1,Ipiranga,Sim,Sim,Ambas as gestões
1ª Região,1,Santo Amaro,Sim,Sim,Ambas as gestões
1ª Região,1,Itaquera,Não,Sim,Apenas Presidente
1ª Região,1,Penha de França,Sim,Sim,Ambas as gestões
1ª Região,1,Tatuapé,Sim,Não,Apenas Vice-Presidente
1ª Região,1,São Miguel Paulista,Sim,Sim,Ambas as gestões
1ª Região,1,Vila Prudente,Sim,Sim,Ambas as gestões
1ª Região,1,Butantã,Sim,Não,Apenas Vice-Presidente
1ª Região,1,Lapa,Sim,Não,Apenas Vice-Presidente
1ª Região,1,Pinheiros,Sim,Não,Apenas Vice-Presidente
1ª Região,1,São Paulo/Sé,Não,Sim,Apenas Presidente
2ª Região,2,Bertioga,Não,Não,Não visitada
2ª Região,2,Cubatão,Sim,Não,Apenas Vice-Presidente
2ª Região,2,Guarujá,Sim,Não,Apenas Vice-Presidente
2ª Região,2,Iguape,Não,Não,Não visitada
2ª Região,2,Itanhaém,Não,Não,Não visitada
2ª Região,2,Jacupiranga,Não,Sim,Apenas Presidente
2ª Região,2,Miracatu,Não,Sim,Apenas Presidente
2ª Região,2,Peruíbe,Não,Sim,Apenas Presidente
2ª Região,2,Praia Grande,Não,Não,Não visitada
2ª Região,2,Registro,Não,Sim,Apenas Presidente
2ª Região,2,Santos,Sim,Sim,Ambas as gestões
2ª Região,2,São Vicente,Sim,Não,Apenas Vice-Presidente
3ª Região,3,Campinas,Sim,Sim,Ambas as gestões
3ª Região,3,Cajamar,Não,Sim,Apenas Presidente
3ª Região,3,Campo Limpo Paulista,Não,Sim,Apenas Presidente
3ª Região,3,Cosmópolis,Não,Sim,Apenas Presidente
3ª Região,3,Indaiatuba,Sim,Sim,Ambas as gestões
3ª Região,3,Itatiba,Sim,Sim,Ambas as gestões
3ª Região,3,Itupeva,Não,Sim,Apenas Presidente
3ª Região,3,Jaguariúna,Não,Sim,Apenas Presidente
3ª Região,3,Jundiaí,Sim,Sim,Ambas as gestões
3ª Região,3,Paulínia,Não,Sim,Apenas Presidente
3ª Região,3,Pedreira,Sim,Sim,Ambas as gestões
3ª Região,3,Várzea Paulista,Não,Sim,Apenas Presidente
3ª Região,3,Valinhos,Sim,Sim,Ambas as gestões
3ª Região,3,Vinhedo,Sim,Sim,Ambas as gestões
4ª Região,4,Americana,Sim,Não,Apenas Vice-Presidente
4ª Região,4,Araras,Não,Sim,Apenas Presidente
4ª Região,4,Artur Nogueira,Sim,Não,Apenas Vice-Presidente
4ª Região,4,Capivari,Não,Não,Não visitada
4ª Região,4,Hortolândia,Não,Não,Não visitada
4ª Região,4,Limeira,Sim,Sim,Ambas as gestões
4ª Região,4,Nova Odessa,Sim,Não,Apenas Vice-Presidente
4ª Região,4,Piracicaba,Sim,Sim,Ambas as gestões
4ª Região,4,Rio Claro,Sim,Sim,Ambas as gestões
4ª Região,4,Santa Bárbara D'Oeste,Sim,Não,Apenas Vice-Presidente
4ª Região,4,São Pedro,Sim,Não,Apenas Vice-Presidente
4ª Região,4,Sumaré,Não,Não,Não visitada
5ª Região,5,Américo Brasiliense,Não,Sim,Apenas Presidente
5ª Região,5,Araraquara,Não,Sim,Apenas Presidente
5ª Região,5,Descalvado,Não,Sim,Apenas Presidente
5ª Região,5,Ribeirão Bonito,Não,Sim,Apenas Presidente
5ª Região,5,São Carlos,Não,Sim,Apenas Presidente
6ª Região,6,Barretos,Não,Não,Não visitada
6ª Região,6,Bebedouro,Não,Não,Não visitada
6ª Região,6,Catanduva,Sim,Sim,Ambas as gestões
6ª Região,6,Guaíra,Não,Não,Não visitada
6ª Região,6,Guariba,Não,Sim,Apenas Presidente
6ª Região,6,Itápolis,Não,Não,Não visitada
6ª Região,6,Ibitinga,Não,Não,Não visitada
6ª Região,6,Jaboticabal,Sim,Sim,Ambas as gestões
6ª Região,6,Matão,Sim,Não,Apenas Vice-Presidente
6ª Região,6,Monte Alto,Não,Não,Não visitada
6ª Região,6,Monte Azul Paulista,Não,Não,Não visitada
6ª Região,6,Novo Horizonte,Não,Não,Não visitada
6ª Região,6,Olímpia,Não,Sim,Apenas Presidente
6ª Região,6,Pitangueiras,Não,Não,Não visitada
6ª Região,6,Santa Adélia,Não,Não,Não visitada
6ª Região,6,Taquaritinga,Sim,Não,Apenas Vice-Presidente
6ª Região,6,Urupês,Não,Sim,Apenas Presidente
7ª Região,7,Aguaí,Sim,Sim,Ambas as gestões
7ª Região,7,Caconde,Sim,Não,Apenas Vice-Presidente
7ª Região,7,Casa Branca,Sim,Sim,Ambas as gestões
7ª Região,7,Espírito Santo do Pinhal,Não,Não,Não visitada
